    HandType, Income Rate, Error, SD, Iteration
99, 0.5575, 0.001763, 3.598, 3
A2o, -0.1068, -0.0003378, 2.769, 3
A2s, 0.3364, 0.001064, 3.340, 3
A3o, -0.04582, -0.0001449, 2.841, 3
A3s, 0.3873, 0.001225, 3.378, 3
A4o, -0.01277, -4.038e-05, 2.870, 3
A4s, 0.4265, 0.001349, 3.408, 3
A5o, 0.03480, 0.0001101, 2.925, 3
A5s, 0.4453, 0.001408, 3.414, 3
A6o, -0.04267, -0.0001349, 2.814, 3
A6s, 0.3836, 0.001213, 3.347, 3
A7o, 0.01523, 4.817e-05, 2.898, 3
A7s, 0.4370, 0.001382, 3.404, 3
A8o, 0.04887, 0.0001545, 2.942, 3
A8s, 0.4655, 0.001472, 3.439, 3
A9o, 0.1197, 0.0003787, 3.035, 3
A9s, 0.5288, 0.001672, 3.500, 3
AA, 2.095, 0.006625, 4.612, 3
AJo, 0.3886, 0.001229, 3.348, 3
AJs, 0.7820, 0.002473, 3.731, 3
AKo, 0.6469, 0.002046, 3.608, 3
AKs, 0.9869, 0.003121, 3.899, 3
AQo, 0.4992, 0.001578, 3.465, 3
ATo, 0.3160, 0.0009993, 3.260, 3
AQs, 0.8769, 0.002773, 3.811, 3
J2o, -0.3695, -0.001169, 2.334, 3
ATs, 0.7261, 0.002296, 3.678, 3
J2s, 0.02529, 7.996e-05, 2.959, 3
J3o, -0.3445, -0.001089, 2.360, 3
J3s, 0.03699, 0.0001170, 2.963, 3
J4o, -0.3414, -0.001080, 2.352, 3
J4s, 0.06180, 0.0001954, 2.980, 3
J5o, -0.2987, -0.0009445, 2.412, 3
J5s, 0.07805, 0.0002468, 2.994, 3
J6o, -0.2957, -0.0009350, 2.417, 3
J6s, 0.1128, 0.0003569, 3.040, 3
J7o, -0.1633, -0.0005163, 2.639, 3
J7s, 0.2084, 0.0006591, 3.157, 3
J8o, -0.03831, -0.0001212, 2.825, 3
J8s, 0.3268, 0.001033, 3.290, 3
J9o, 0.08501, 0.0002688, 2.990, 3
J9s, 0.4676, 0.001479, 3.440, 3
JJ, 0.9282, 0.002935, 3.918, 3
JTo, 0.2816, 0.0008906, 3.220, 3
JTs, 0.6468, 0.002045, 3.601, 3
K2o, -0.2412, -0.0007628, 2.568, 3
K2s, 0.1950, 0.0006165, 3.179, 3
K3o, -0.2328, -0.0007360, 2.563, 3
K3s, 0.2144, 0.0006780, 3.188, 3
K4o, -0.1882, -0.0005952, 2.616, 3
K4s, 0.2578, 0.0008152, 3.226, 3
K5o, -0.1687, -0.0005334, 2.637, 3
K5s, 0.2710, 0.0008569, 3.231, 3
K6o, -0.1340, -0.0004238, 2.688, 3
K6s, 0.2808, 0.0008878, 3.239, 3
K7o, -0.1005, -0.0003178, 2.732, 3
K7s, 0.3419, 0.001081, 3.306, 3
K8o, -0.04015, -0.0001270, 2.827, 3
K8s, 0.3788, 0.001198, 3.348, 3
K9o, 0.09617, 0.0003041, 3.008, 3
K9s, 0.4702, 0.001487, 3.447, 3
KJo, 0.3584, 0.001133, 3.312, 3
KJs, 0.7210, 0.002280, 3.677, 3
KK, 1.589, 0.005025, 4.366, 3
KQo, 0.4781, 0.001512, 3.446, 3
KQs, 0.8030, 0.002539, 3.751, 3
KTo, 0.2821, 0.0008921, 3.227, 3
KTs, 0.6827, 0.002159, 3.642, 3
Q2o, -0.3211, -0.001015, 2.427, 3
Q2s, 0.1025, 0.0003240, 3.064, 3
Q3o, -0.3038, -0.0009605, 2.440, 3
Q3s, 0.1152, 0.0003643, 3.066, 3
Q4o, -0.2742, -0.0008671, 2.474, 3
Q4s, 0.1392, 0.0004401, 3.086, 3
Q5o, -0.2572, -0.0008134, 2.490, 3
Q5s, 0.1611, 0.0005093, 3.101, 3
Q6o, -0.2155, -0.0006815, 2.554, 3
Q6s, 0.2083, 0.0006588, 3.156, 3
Q7o, -0.1955, -0.0006181, 2.588, 3
Q7s, 0.2178, 0.0006889, 3.166, 3
Q8o, -0.08602, -0.0002720, 2.761, 3
Q9o, 0.06527, 0.0002064, 2.970, 3
Q8s, 0.3322, 0.001051, 3.300, 3
QJo, 0.3448, 0.001090, 3.297, 3
Q9s, 0.4631, 0.001464, 3.441, 3
QJs, 0.7160, 0.002264, 3.674, 3
QQ, 1.226, 0.003878, 4.139, 3
QTo, 0.2841, 0.0008984, 3.228, 3
QTs, 0.6312, 0.001996, 3.594, 3
T2o, -0.4324, -0.001368, 2.201, 3
T2s, -0.03553, -0.0001124, 2.871, 3
T3o, -0.3934, -0.001244, 2.263, 3
T3s, -0.003423, -1.083e-05, 2.900, 3
T4o, -0.3678, -0.001163, 2.291, 3
T4s, 0.004961, 1.569e-05, 2.903, 3
T5o, -0.3653, -0.001155, 2.288, 3
T5s, 0.02938, 9.289e-05, 2.923, 3
T6o, -0.2636, -0.0008336, 2.472, 3
T6s, 0.1425, 0.0004505, 3.074, 3
T7o, -0.1311, -0.0004145, 2.689, 3
T7s, 0.2301, 0.0007275, 3.180, 3
T8o, 0.01153, 3.646e-05, 2.890, 3
T8s, 0.3688, 0.001166, 3.338, 3
T9o, 0.1179, 0.0003727, 3.035, 3
T9s, 0.4681, 0.001480, 3.437, 3
TT, 0.7274, 0.002300, 3.744, 3
HandType, Income Rate, Error, SD, Iteration
32o, -0.4401, -0.001392, 2.230, 4
22, 0.2019, 0.0006386, 3.242, 4
32s, -0.09085, -0.0002873, 2.820, 4
33, 0.2019, 0.0006384, 3.235, 4
42o, -0.4030, -0.001274, 2.292, 4
42s, -0.04522, -0.0001430, 2.880, 4
43o, -0.2979, -0.0009421, 2.470, 4
43s, 0.01852, 5.858e-05, 2.958, 4
44, 0.2138, 0.0006762, 3.244, 4
52o, -0.3675, -0.001162, 2.346, 4
52s, -0.01603, -5.071e-05, 2.910, 4
53o, -0.2635, -0.0008333, 2.522, 4
53s, 0.08833, 0.0002793, 3.037, 4
54o, -0.1737, -0.0005492, 2.649, 4
54s, 0.1670, 0.0005280, 3.129, 4
55, 0.2288, 0.0007236, 3.253, 4
62o, -0.4604, -0.001456, 2.171, 4
62s, -0.1064, -0.0003366, 2.784, 4
63s, 0.004492, 1.420e-05, 2.934, 4
63o, -0.3550, -0.001122, 2.365, 4
64o, -0.2378, -0.0007519, 2.557, 4
64s, 0.1280, 0.0004047, 3.087, 4
65o, -0.1514, -0.0004788, 2.679, 4
65s, 0.2094, 0.0006623, 3.177, 4
66, 0.3026, 0.0009568, 3.336, 4
72o, -0.5164, -0.001633, 2.045, 4
72s, -0.1399, -0.0004423, 2.733, 4
73o, -0.4202, -0.001329, 2.235, 4
73s, -0.04921, -0.0001556, 2.858, 4
74o, -0.3135, -0.0009915, 2.427, 4
74s, 0.06176, 0.0001953, 2.998, 4
75o, -0.2108, -0.0006666, 2.585, 4
75s, 0.1394, 0.0004408, 3.093, 4
76o, -0.1220, -0.0003858, 2.726, 4
76s, 0.2394, 0.0007570, 3.208, 4
77, 0.3856, 0.001219, 3.426, 4
82o, -0.5017, -0.001587, 2.078, 4
82s, -0.1090, -0.0003448, 2.777, 4
83o, -0.4813, -0.001522, 2.098, 4
83s, -0.09099, -0.0002877, 2.794, 4
84o, -0.3845, -0.001216, 2.288, 4
84s, -0.01208, -3.821e-05, 2.898, 4
85o, -0.2766, -0.0008746, 2.474, 4
85s, 0.1120, 0.0003542, 3.053, 4
86o, -0.1593, -0.0005039, 2.666, 4
86s, 0.1853, 0.0005860, 3.141, 4
87o, -0.05938, -0.0001878, 2.811, 4
87s, 0.2745, 0.0008682, 3.244, 4
88, 0.4329, 0.001369, 3.476, 4
92o, -0.4690, -0.001483, 2.143, 4
92s, -0.09577, -0.0003029, 2.796, 4
93o, -0.4595, -0.001453, 2.148, 4
93s, -0.07746, -0.0002449, 2.811, 4
94o, -0.4297, -0.001359, 2.192, 4
94s, -0.04639, -0.0001467, 2.843, 4
95o, -0.3449, -0.001091, 2.347, 4
95s, 0.04294, 0.0001358, 2.963, 4
96o, -0.2234, -0.0007066, 2.559, 4
96s, 0.1423, 0.0004499, 3.088, 4
97o, -0.09359, -0.0002959, 2.758, 4
97s, 0.2351, 0.0007436, 3.199, 4
98o, -0.001853, -5.861e-06, 2.885, 4
98s, 0.3587, 0.001134, 3.337, 4
99, 0.5628, 0.001780, 3.605, 4
A2o, -0.09491, -0.0003001, 2.787, 4
A2s, 0.3353, 0.001060, 3.337, 4
A3o, -0.05090, -0.0001609, 2.836, 4
A3s, 0.3869, 0.001223, 3.377, 4
A4o, -0.01785, -5.645e-05, 2.863, 4
A4s, 0.4121, 0.001303, 3.393, 4
A5o, 0.009475, 2.996e-05, 2.888, 4
A5s, 0.4404, 0.001393, 3.412, 4
A6o, -0.02991, -9.458e-05, 2.834, 4
A6s, 0.3917, 0.001239, 3.361, 4
A7o, 0.009325, 2.949e-05, 2.884, 4
A7s, 0.4332, 0.001370, 3.401, 4
A8o, 0.04761, 0.0001505, 2.940, 4
A8s, 0.4569, 0.001445, 3.426, 4
A9o, 0.1182, 0.0003739, 3.040, 4
A9s, 0.5285, 0.001671, 3.503, 4
AA, 2.108, 0.006667, 4.616, 4
AJo, 0.3834, 0.001212, 3.344, 4
AJs, 0.7767, 0.002456, 3.728, 4
AKo, 0.6563, 0.002075, 3.616, 4
AKs, 0.9896, 0.003129, 3.899, 4
AQo, 0.4861, 0.001537, 3.452, 4
AQs, 0.8443, 0.002670, 3.785, 4
ATo, 0.3161, 0.0009997, 3.269, 4
ATs, 0.7084, 0.002240, 3.663, 4
J2o, -0.3809, -0.001205, 2.312, 4
J2s, 0.02380, 7.527e-05, 2.959, 4
J3o, -0.3448, -0.001090, 2.357, 4
J3s, 0.06822, 0.0002157, 3.002, 4
J4o, -0.3322, -0.001051, 2.369, 4
J5o, -0.3174, -0.001004, 2.381, 4
J4s, 0.05424, 0.0001715, 2.974, 4
J6o, -0.2816, -0.0008905, 2.437, 4
J5s, 0.07163, 0.0002265, 2.985, 4
J6s, 0.09865, 0.0003120, 3.014, 4
J7o, -0.1801, -0.0005695, 2.611, 4
J7s, 0.2071, 0.0006550, 3.159, 4
J8o, -0.04620, -0.0001461, 2.811, 4
J8s, 0.3193, 0.001010, 3.286, 4
J9o, 0.08094, 0.0002560, 2.989, 4
J9s, 0.4565, 0.001444, 3.430, 4
JJ, 0.9375, 0.002965, 3.925, 4
JTo, 0.2982, 0.0009429, 3.237, 4
JTs, 0.6488, 0.002052, 3.606, 4
K2o, -0.2329, -0.0007365, 2.578, 4
K2s, 0.1717, 0.0005430, 3.149, 4
K3o, -0.2181, -0.0006898, 2.586, 4
K3s, 0.2099, 0.0006639, 3.184, 4
K4o, -0.1997, -0.0006316, 2.600, 4
K4s, 0.2516, 0.0007956, 3.221, 4
K5o, -0.1634, -0.0005167, 2.638, 4
K5s, 0.2754, 0.0008707, 3.236, 4
K6o, -0.1306, -0.0004130, 2.687, 4
K6s, 0.2973, 0.0009400, 3.257, 4
K7o, -0.1006, -0.0003183, 2.736, 4
K7s, 0.3063, 0.0009686, 3.267, 4
K8o, -0.05290, -0.0001673, 2.801, 4
K8s, 0.3623, 0.001146, 3.328, 4
K9o, 0.07813, 0.0002471, 2.982, 4
K9s, 0.4757, 0.001504, 3.452, 4
KJo, 0.3779, 0.001195, 3.337, 4
KJs, 0.7352, 0.002325, 3.690, 4
KK, 1.641, 0.005188, 4.393, 4
KQo, 0.4571, 0.001445, 3.420, 4
KQs, 0.8210, 0.002596, 3.766, 4
KTo, 0.2930, 0.0009266, 3.233, 4
KTs, 0.6674, 0.002110, 3.628, 4
Q2o, -0.3216, -0.001017, 2.424, 4
Q2s, 0.07873, 0.0002490, 3.034, 4
Q3o, -0.2872, -0.0009082, 2.462, 4
Q3s, 0.1277, 0.0004038, 3.082, 4
Q4o, -0.2803, -0.0008865, 2.468, 4
Q4s, 0.1433, 0.0004531, 3.090, 4
Q5o, -0.2449, -0.0007743, 2.511, 4
Q5s, 0.1673, 0.0005291, 3.109, 4
Q6o, -0.2255, -0.0007130, 2.537, 4
Q6s, 0.2154, 0.0006812, 3.165, 4
Q7o, -0.1969, -0.0006227, 2.585, 4
Q7s, 0.2097, 0.0006630, 3.158, 4
Q8o, -0.08777, -0.0002776, 2.756, 4
Q8s, 0.3461, 0.001094, 3.318, 4
Q9o, 0.07752, 0.0002451, 2.984, 4
Q9s, 0.4389, 0.001388, 3.410, 4
QJo, 0.3417, 0.001081, 3.294, 4
QJs, 0.7054, 0.002231, 3.662, 4
QQ, 1.220, 0.003859, 4.135, 4
QTo, 0.2729, 0.0008629, 3.211, 4
QTs, 0.6456, 0.002041, 3.606, 4
T2o, -0.4270, -0.001350, 2.216, 4
T2s, -0.02402, -7.596e-05, 2.890, 4
T3o, -0.3977, -0.001258, 2.251, 4
T3s, 0.005607, 1.773e-05, 2.911, 4
T4o, -0.3794, -0.001200, 2.273, 4
T4s, 0.02345, 7.416e-05, 2.930, 4
T5o, -0.3457, -0.001093, 2.324, 4
T5s, 0.04487, 0.0001419, 2.948, 4
T6o, -0.2606, -0.0008242, 2.477, 4
T6s, 0.1352, 0.0004277, 3.063, 4
T7o, -0.1478, -0.0004674, 2.661, 4
T7s, 0.2514, 0.0007949, 3.206, 4
T8o, -0.001155, -3.652e-06, 2.875, 4
T8s, 0.3444, 0.001089, 3.311, 4
T9o, 0.1392, 0.0004401, 3.052, 4
T9s, 0.4821, 0.001525, 3.453, 4
TT, 0.7513, 0.002376, 3.765, 4
HandType, Income Rate, Error, SD, Iteration
32o, -0.4384, -0.001386, 2.235, 5
22, 0.2064, 0.0006529, 3.247, 5
32s, -0.09272, -0.0002932, 2.819, 5
33, 0.1973, 0.0006239, 3.230, 5
42o, -0.3962, -0.001253, 2.308, 5
42s, -0.02438, -7.710e-05, 2.908, 5
43o, -0.3129, -0.0009894, 2.443, 5
43s, 0.03938, 0.0001245, 2.983, 5
44, 0.2328, 0.0007363, 3.264, 5
52o, -0.3623, -0.001146, 2.355, 5
52s, -0.02152, -6.805e-05, 2.901, 5
53o, -0.2626, -0.0008305, 2.522, 5
53s, 0.08286, 0.0002620, 3.031, 5
54o, -0.1680, -0.0005314, 2.663, 5
54s, 0.1738, 0.0005497, 3.135, 5
55, 0.2370, 0.0007494, 3.261, 5
62o, -0.4533, -0.001434, 2.185, 5
62s, -0.09725, -0.0003075, 2.804, 5
63o, -0.3473, -0.001098, 2.379, 5
63s, 0.003678, 1.163e-05, 2.932, 5
64o, -0.2570, -0.0008127, 2.523, 5
64s, 0.09425, 0.0002980, 3.048, 5
65o, -0.1614, -0.0005103, 2.666, 5
65s, 0.2057, 0.0006505, 3.173, 5
72o, -0.5211, -0.001648, 2.037, 5
66, 0.3052, 0.0009650, 3.339, 5
72s, -0.1442, -0.0004560, 2.727, 5
73o, -0.4100, -0.001297, 2.256, 5
73s, -0.06818, -0.0002156, 2.828, 5
74o, -0.3104, -0.0009816, 2.428, 5
74s, 0.05122, 0.0001620, 2.986, 5
75o, -0.1817, -0.0005746, 2.633, 5
75s, 0.1655, 0.0005234, 3.124, 5
76o, -0.1134, -0.0003586, 2.738, 5
76s, 0.2454, 0.0007761, 3.215, 5
77, 0.3655, 0.001156, 3.405, 5
82o, -0.4982, -0.001575, 2.085, 5
82s, -0.1243, -0.0003930, 2.757, 5
83o, -0.4737, -0.001498, 2.119, 5
83s, -0.09868, -0.0003121, 2.783, 5
84o, -0.3805, -0.001203, 2.301, 5
84s, -0.02532, -8.006e-05, 2.879, 5
85o, -0.2620, -0.0008284, 2.499, 5
85s, 0.09763, 0.0003087, 3.041, 5
86o, -0.1696, -0.0005364, 2.645, 5
86s, 0.2165, 0.0006847, 3.181, 5
87o, -0.07645, -0.0002418, 2.788, 5
87s, 0.2829, 0.0008946, 3.254, 5
88, 0.4412, 0.001395, 3.484, 5
92o, -0.4688, -0.001483, 2.141, 5
92s, -0.08031, -0.0002540, 2.819, 5
93o, -0.4531, -0.001433, 2.155, 5
93s, -0.07628, -0.0002412, 2.814, 5
94o, -0.4368, -0.001381, 2.181, 5
94s, -0.05610, -0.0001774, 2.830, 5
95o, -0.3388, -0.001071, 2.359, 5
95s, 0.03777, 0.0001194, 2.950, 5
96o, -0.2199, -0.0006955, 2.565, 5
96s, 0.1578, 0.0004989, 3.102, 5
97o, -0.1065, -0.0003367, 2.740, 5
97s, 0.2458, 0.0007774, 3.213, 5
98o, -0.03108, -9.829e-05, 2.845, 5
98s, 0.3552, 0.001123, 3.330, 5
99, 0.5488, 0.001735, 3.593, 5
A2o, -0.08916, -0.0002819, 2.794, 5
A2s, 0.3414, 0.001080, 3.343, 5
A3o, -0.04551, -0.0001439, 2.843, 5
A3s, 0.3740, 0.001183, 3.365, 5
A4o, -0.01133, -3.583e-05, 2.870, 5
A4s, 0.4069, 0.001287, 3.386, 5
A5o, 0.02868, 9.070e-05, 2.913, 5
A5s, 0.4530, 0.001433, 3.425, 5
A6o, -0.03672, -0.0001161, 2.826, 5
A6s, 0.3986, 0.001260, 3.371, 5
A7o, 0.01160, 3.668e-05, 2.893, 5
A7s, 0.4038, 0.001277, 3.373, 5
A8o, 0.04992, 0.0001578, 2.942, 5
A8s, 0.4699, 0.001486, 3.440, 5
A9o, 0.1212, 0.0003832, 3.035, 5
A9s, 0.5424, 0.001715, 3.511, 5
AA, 2.087, 0.006601, 4.607, 5
AJo, 0.4042, 0.001278, 3.363, 5
AJs, 0.7785, 0.002462, 3.725, 5
AKo, 0.6143, 0.001943, 3.576, 5
AKs, 0.9903, 0.003132, 3.905, 5
AQo, 0.4967, 0.001571, 3.468, 5
AQs, 0.8206, 0.002595, 3.768, 5
ATo, 0.3001, 0.0009489, 3.247, 5
ATs, 0.7164, 0.002266, 3.667, 5
J2o, -0.3756, -0.001188, 2.323, 5
J2s, 0.02629, 8.313e-05, 2.962, 5
J3o, -0.3587, -0.001134, 2.338, 5
J3s, 0.06004, 0.0001899, 2.993, 5
J4o, -0.3412, -0.001079, 2.350, 5
J4s, 0.06485, 0.0002051, 2.989, 5
J5o, -0.3163, -0.001000, 2.379, 5
J5s, 0.09081, 0.0002872, 3.011, 5
J6o, -0.2854, -0.0009025, 2.436, 5
J6s, 0.1298, 0.0004106, 3.062, 5
J7o, -0.1690, -0.0005345, 2.631, 5
J8o, -0.05992, -0.0001895, 2.793, 5
J7s, 0.2177, 0.0006885, 3.166, 5
J9o, 0.08194, 0.0002591, 2.987, 5
J8s, 0.3188, 0.001008, 3.285, 5
J9s, 0.4403, 0.001392, 3.414, 5
JJ, 0.9393, 0.002970, 3.926, 5
JTo, 0.2952, 0.0009335, 3.231, 5
JTs, 0.6511, 0.002059, 3.609, 5
K2o, -0.2379, -0.0007522, 2.575, 5
K2s, 0.1732, 0.0005477, 3.156, 5
K3o, -0.2233, -0.0007061, 2.579, 5
K3s, 0.2097, 0.0006633, 3.184, 5
K4o, -0.2026, -0.0006405, 2.594, 5
K4s, 0.2207, 0.0006980, 3.182, 5
K5o, -0.1600, -0.0005058, 2.649, 5
K5s, 0.2626, 0.0008303, 3.221, 5
K6o, -0.1358, -0.0004294, 2.684, 5
K6s, 0.2891, 0.0009143, 3.250, 5
K7o, -0.1081, -0.0003419, 2.719, 5
K7s, 0.3288, 0.001040, 3.294, 5
K8o, -0.06249, -0.0001976, 2.795, 5
K8s, 0.3677, 0.001163, 3.335, 5
K9o, 0.06904, 0.0002183, 2.974, 5
K9s, 0.4805, 0.001519, 3.457, 5
KJo, 0.3633, 0.001149, 3.325, 5
KJs, 0.7425, 0.002348, 3.696, 5
KK, 1.594, 0.005042, 4.367, 5
KQo, 0.4470, 0.001414, 3.412, 5
KQs, 0.8153, 0.002578, 3.762, 5
KTo, 0.2952, 0.0009336, 3.236, 5
KTs, 0.6881, 0.002176, 3.651, 5
Q2o, -0.3160, -0.0009993, 2.436, 5
Q2s, 0.09733, 0.0003078, 3.058, 5
Q3o, -0.3204, -0.001013, 2.415, 5
Q3s, 0.1319, 0.0004172, 3.089, 5
Q4o, -0.2704, -0.0008550, 2.482, 5
Q4s, 0.1381, 0.0004367, 3.083, 5
Q5o, -0.2517, -0.0007960, 2.503, 5
Q5s, 0.1583, 0.0005006, 3.098, 5
Q6o, -0.2148, -0.0006792, 2.555, 5
Q7o, -0.1761, -0.0005568, 2.616, 5
Q6s, 0.1912, 0.0006047, 3.137, 5
Q7s, 0.2360, 0.0007463, 3.188, 5
Q8o, -0.08475, -0.0002680, 2.758, 5
Q8s, 0.3018, 0.0009543, 3.267, 5
Q9o, 0.06533, 0.0002066, 2.970, 5
Q9s, 0.4444, 0.001405, 3.418, 5
QJo, 0.3555, 0.001124, 3.310, 5
QJs, 0.6987, 0.002209, 3.658, 5
QQ, 1.233, 0.003899, 4.144, 5
QTo, 0.2758, 0.0008720, 3.216, 5
QTs, 0.6740, 0.002131, 3.632, 5
T2o, -0.4084, -0.001292, 2.249, 5
T2s, -0.01974, -6.241e-05, 2.892, 5
T3o, -0.4035, -0.001276, 2.244, 5
T3s, -0.005328, -1.685e-05, 2.902, 5
T4o, -0.3783, -0.001196, 2.275, 5
T4s, 0.01088, 3.440e-05, 2.910, 5
T5o, -0.3495, -0.001105, 2.317, 5
T5s, 0.04209, 0.0001331, 2.941, 5
T6o, -0.2500, -0.0007907, 2.492, 5
T6s, 0.1223, 0.0003867, 3.048, 5
T7o, -0.1269, -0.0004014, 2.692, 5
T7s, 0.2255, 0.0007132, 3.176, 5
T8o, -0.01681, -5.317e-05, 2.851, 5
T8s, 0.3633, 0.001149, 3.326, 5
T9o, 0.1339, 0.0004234, 3.047, 5
T9s, 0.4754, 0.001503, 3.442, 5
TT, 0.7283, 0.002303, 3.748, 5
HandType, Income Rate, Error, SD, Iteration
32o, -0.4413, -0.001396, 2.229, 6
22, 0.1915, 0.0006057, 3.229, 6
32s, -0.09005, -0.0002848, 2.827, 6
33, 0.1835, 0.0005803, 3.214, 6
42o, -0.3918, -0.001239, 2.307, 6
42s, -0.03665, -0.0001159, 2.888, 6
43o, -0.3088, -0.0009766, 2.449, 6
43s, 0.03774, 0.0001194, 2.981, 6
44, 0.2374, 0.0007508, 3.270, 6
52o, -0.3649, -0.001154, 2.344, 6
52s, -0.002722, -8.608e-06, 2.928, 6
53o, -0.2616, -0.0008273, 2.517, 6
53s, 0.1004, 0.0003175, 3.055, 6
54o, -0.1739, -0.0005499, 2.645, 6
54s, 0.1689, 0.0005341, 3.133, 6
55, 0.2479, 0.0007840, 3.276, 6
62o, -0.4687, -0.001482, 2.158, 6
62s, -0.1118, -0.0003534, 2.780, 6
63s, 0.01860, 5.882e-05, 2.954, 6
63o, -0.3508, -0.001109, 2.371, 6
64o, -0.2430, -0.0007685, 2.550, 6
64s, 0.1285, 0.0004062, 3.083, 6
65o, -0.1521, -0.0004810, 2.685, 6
65s, 0.1868, 0.0005906, 3.151, 6
66, 0.2956, 0.0009347, 3.329, 6
72o, -0.5372, -0.001699, 2.001, 6
72s, -0.1440, -0.0004552, 2.729, 6
73o, -0.4328, -0.001369, 2.214, 6
73s, -0.05272, -0.0001667, 2.851, 6
74o, -0.3132, -0.0009905, 2.425, 6
74s, 0.03139, 9.926e-05, 2.962, 6
75o, -0.1922, -0.0006078, 2.621, 6
75s, 0.1499, 0.0004741, 3.102, 6
76o, -0.1064, -0.0003365, 2.745, 6
76s, 0.2362, 0.0007469, 3.205, 6
77, 0.3464, 0.001095, 3.385, 6
82o, -0.5016, -0.001586, 2.071, 6
82s, -0.1064, -0.0003366, 2.781, 6
83o, -0.4736, -0.001498, 2.126, 6
83s, -0.1117, -0.0003533, 2.763, 6
84o, -0.3725, -0.001178, 2.310, 6
84s, -0.02247, -7.105e-05, 2.888, 6
85o, -0.2708, -0.0008563, 2.488, 6
85s, 0.1137, 0.0003594, 3.052, 6
86o, -0.1600, -0.0005061, 2.662, 6
86s, 0.1983, 0.0006272, 3.159, 6
87o, -0.06724, -0.0002126, 2.802, 6
87s, 0.2935, 0.0009280, 3.265, 6
88, 0.4527, 0.001431, 3.495, 6
92o, -0.4784, -0.001513, 2.125, 6
92s, -0.08205, -0.0002595, 2.819, 6
93o, -0.4587, -0.001450, 2.149, 6
93s, -0.07790, -0.0002463, 2.812, 6
94o, -0.4255, -0.001345, 2.202, 6
94s, -0.04153, -0.0001313, 2.851, 6
95o, -0.3432, -0.001085, 2.346, 6
95s, 0.03570, 0.0001129, 2.949, 6
96o, -0.2026, -0.0006406, 2.585, 6
96s, 0.1676, 0.0005300, 3.118, 6
97o, -0.1179, -0.0003727, 2.724, 6
97s, 0.2464, 0.0007792, 3.209, 6
98o, -0.01731, -5.473e-05, 2.868, 6
98s, 0.3584, 0.001133, 3.331, 6
99, 0.5516, 0.001744, 3.594, 6
A2o, -0.09662, -0.0003055, 2.784, 6
A2s, 0.3591, 0.001136, 3.361, 6
A3o, -0.03884, -0.0001228, 2.850, 6
A3s, 0.3837, 0.001213, 3.372, 6
A4o, -0.008953, -2.831e-05, 2.878, 6
A4s, 0.4090, 0.001293, 3.387, 6
A5o, 0.03090, 9.771e-05, 2.917, 6
A5s, 0.4454, 0.001408, 3.415, 6
A6o, -0.03410, -0.0001078, 2.828, 6
A6s, 0.3834, 0.001213, 3.353, 6
A7o, 0.01089, 3.445e-05, 2.889, 6
A7s, 0.4384, 0.001386, 3.407, 6
A8o, 0.06468, 0.0002045, 2.963, 6
A8s, 0.4754, 0.001503, 3.447, 6
A9o, 0.1011, 0.0003197, 3.010, 6
A9s, 0.5390, 0.001704, 3.512, 6
AA, 2.099, 0.006637, 4.612, 6
AJo, 0.3893, 0.001231, 3.348, 6
AJs, 0.7774, 0.002458, 3.726, 6
AKo, 0.6339, 0.002005, 3.596, 6
AKs, 0.9790, 0.003096, 3.892, 6
AQo, 0.4910, 0.001553, 3.456, 6
AQs, 0.8681, 0.002745, 3.803, 6
ATo, 0.3166, 0.001001, 3.266, 6
ATs, 0.7117, 0.002251, 3.664, 6
J2o, -0.3723, -0.001177, 2.330, 6
J2s, 0.01020, 3.226e-05, 2.941, 6
J3o, -0.3649, -0.001154, 2.324, 6
J3s, 0.02992, 9.460e-05, 2.955, 6
J4o, -0.3424, -0.001083, 2.351, 6
J4s, 0.06003, 0.0001898, 2.983, 6
J5o, -0.3088, -0.0009766, 2.392, 6
J5s, 0.09890, 0.0003128, 3.021, 6
J6o, -0.2923, -0.0009244, 2.420, 6
J6s, 0.1149, 0.0003632, 3.037, 6
J7o, -0.1711, -0.0005410, 2.630, 6
J7s, 0.2146, 0.0006787, 3.165, 6
J8o, -0.04901, -0.0001550, 2.810, 6
J8s, 0.3177, 0.001005, 3.284, 6
J9o, 0.09719, 0.0003073, 3.007, 6
J9s, 0.4478, 0.001416, 3.418, 6
JJ, 0.9183, 0.002904, 3.910, 6
JTo, 0.2897, 0.0009160, 3.230, 6
JTs, 0.6301, 0.001992, 3.588, 6
K2o, -0.2459, -0.0007778, 2.557, 6
K2s, 0.1905, 0.0006025, 3.173, 6
K3o, -0.2179, -0.0006890, 2.590, 6
K3s, 0.2051, 0.0006485, 3.180, 6
K4o, -0.1936, -0.0006121, 2.610, 6
K4s, 0.2262, 0.0007152, 3.192, 6
K5o, -0.1756, -0.0005552, 2.623, 6
K5s, 0.2515, 0.0007954, 3.208, 6
K6o, -0.1348, -0.0004262, 2.681, 6
K6s, 0.2740, 0.0008666, 3.236, 6
K7o, -0.09065, -0.0002867, 2.750, 6
K7s, 0.3228, 0.001021, 3.290, 6
K8o, -0.05238, -0.0001656, 2.806, 6
K8s, 0.3570, 0.001129, 3.328, 6
K9o, 0.08363, 0.0002645, 2.993, 6
K9s, 0.4895, 0.001548, 3.463, 6
KJo, 0.3778, 0.001195, 3.335, 6
KJs, 0.7317, 0.002314, 3.687, 6
KK, 1.601, 0.005063, 4.370, 6
