    HandType, Income Rate, Error, SD, Iteration
Q2o, -0.3138, -0.0009923, 2.439, 0
Q2s, 0.09456, 0.0002990, 3.057, 0
Q3o, -0.3027, -0.0009572, 2.444, 0
Q3s, 0.1213, 0.0003837, 3.075, 0
Q4o, -0.2813, -0.0008896, 2.466, 0
Q4s, 0.1374, 0.0004344, 3.083, 0
Q5o, -0.2429, -0.0007680, 2.513, 0
Q5s, 0.1638, 0.0005181, 3.103, 0
Q6o, -0.2229, -0.0007049, 2.542, 0
Q6s, 0.1959, 0.0006194, 3.141, 0
Q7o, -0.1875, -0.0005930, 2.598, 0
Q7s, 0.2019, 0.0006386, 3.147, 0
Q8o, -0.07526, -0.0002380, 2.777, 0
Q8s, 0.3383, 0.001070, 3.306, 0
Q9o, 0.07112, 0.0002249, 2.974, 0
Q9s, 0.4402, 0.001392, 3.416, 0
QJo, 0.3549, 0.001122, 3.310, 0
QJs, 0.7011, 0.002217, 3.655, 0
QQ, 1.213, 0.003837, 4.129, 0
QTo, 0.2819, 0.0008915, 3.228, 0
QTs, 0.6562, 0.002075, 3.610, 0
T2o, -0.4048, -0.001280, 2.255, 0
T2s, -0.03627, -0.0001147, 2.867, 0
T3o, -0.3934, -0.001244, 2.263, 0
T3s, -0.01777, -5.621e-05, 2.879, 0
T4o, -0.3674, -0.001162, 2.296, 0
T4s, 0.02110, 6.673e-05, 2.921, 0
T5o, -0.3548, -0.001122, 2.305, 0
T5s, 0.03573, 0.0001130, 2.932, 0
T6o, -0.2369, -0.0007491, 2.517, 0
T6s, 0.1211, 0.0003831, 3.048, 0
T7o, -0.1356, -0.0004289, 2.679, 0
T7s, 0.2250, 0.0007115, 3.172, 0
T8o, -0.004283, -1.355e-05, 2.868, 0
T8s, 0.3563, 0.001127, 3.320, 0
T9o, 0.1393, 0.0004404, 3.055, 0
T9s, 0.4834, 0.001529, 3.449, 0
TT, 0.7181, 0.002271, 3.737, 0
HandType, Income Rate, Error, SD, Iteration
32o, -0.4433, -0.001402, 2.224, 1
22, 0.1992, 0.0006301, 3.240, 1
32s, -0.07760, -0.0002454, 2.841, 1
33, 0.1881, 0.0005948, 3.219, 1
42o, -0.3925, -0.001241, 2.308, 1
42s, -0.03112, -9.842e-05, 2.898, 1
43o, -0.3066, -0.0009695, 2.454, 1
43s, 0.03300, 0.0001044, 2.977, 1
44, 0.2211, 0.0006991, 3.249, 1
52o, -0.3719, -0.001176, 2.336, 1
52s, -0.007992, -2.527e-05, 2.920, 1
53o, -0.2656, -0.0008397, 2.514, 1
54o, -0.1786, -0.0005647, 2.648, 1
53s, 0.09579, 0.0003029, 3.050, 1
54s, 0.1736, 0.0005489, 3.138, 1
55, 0.2610, 0.0008255, 3.291, 1
62o, -0.4491, -0.001420, 2.196, 1
62s, -0.1047, -0.0003311, 2.792, 1
63s, 0.01942, 6.142e-05, 2.954, 1
63o, -0.3565, -0.001127, 2.362, 1
64o, -0.2451, -0.0007750, 2.545, 1
64s, 0.1074, 0.0003396, 3.059, 1
65o, -0.1360, -0.0004299, 2.708, 1
65s, 0.1942, 0.0006141, 3.164, 1
66, 0.3102, 0.0009810, 3.346, 1
72o, -0.5202, -0.001645, 2.036, 1
72s, -0.1362, -0.0004307, 2.736, 1
73o, -0.4200, -0.001328, 2.235, 1
73s, -0.05409, -0.0001711, 2.852, 1
74o, -0.3052, -0.0009650, 2.441, 1
74s, 0.04797, 0.0001517, 2.983, 1
75o, -0.2094, -0.0006623, 2.589, 1
75s, 0.1576, 0.0004984, 3.111, 1
76o, -0.1081, -0.0003419, 2.747, 1
76s, 0.2387, 0.0007548, 3.205, 1
77, 0.3735, 0.001181, 3.413, 1
82o, -0.5052, -0.001598, 2.069, 1
82s, -0.1196, -0.0003783, 2.761, 1
83o, -0.4758, -0.001505, 2.120, 1
83s, -0.1018, -0.0003218, 2.776, 1
84o, -0.3809, -0.001205, 2.299, 1
84s, -0.009547, -3.019e-05, 2.904, 1
85o, -0.2797, -0.0008844, 2.468, 1
85s, 0.09376, 0.0002965, 3.030, 1
86o, -0.1565, -0.0004949, 2.665, 1
86s, 0.2052, 0.0006488, 3.165, 1
87o, -0.07400, -0.0002340, 2.791, 1
87s, 0.2752, 0.0008701, 3.245, 1
88, 0.4653, 0.001472, 3.509, 1
92o, -0.4881, -0.001543, 2.109, 1
92s, -0.08080, -0.0002555, 2.820, 1
93o, -0.4571, -0.001445, 2.152, 1
93s, -0.06831, -0.0002160, 2.824, 1
94o, -0.4311, -0.001363, 2.188, 1
94s, -0.02960, -9.361e-05, 2.866, 1
95o, -0.3395, -0.001074, 2.363, 1
95s, 0.04564, 0.0001443, 2.963, 1
96o, -0.2232, -0.0007058, 2.559, 1
96s, 0.1345, 0.0004254, 3.078, 1
97o, -0.1033, -0.0003266, 2.744, 1
97s, 0.2623, 0.0008294, 3.231, 1
98o, -0.005951, -1.882e-05, 2.884, 1
98s, 0.3518, 0.001113, 3.331, 1
99, 0.5688, 0.001799, 3.610, 1
A2o, -0.1079, -0.0003413, 2.771, 1
A2s, 0.3340, 0.001056, 3.334, 1
A3o, -0.05726, -0.0001811, 2.829, 1
A3s, 0.3826, 0.001210, 3.372, 1
A4o, -0.01942, -6.142e-05, 2.860, 1
A4s, 0.4225, 0.001336, 3.403, 1
A5o, 0.003265, 1.033e-05, 2.875, 1
A5s, 0.4407, 0.001394, 3.410, 1
A6o, -0.03852, -0.0001218, 2.819, 1
A6s, 0.3895, 0.001232, 3.359, 1
A7o, 0.006625, 2.095e-05, 2.883, 1
A7s, 0.4450, 0.001407, 3.411, 1
A8o, 0.03895, 0.0001232, 2.931, 1
A8s, 0.4770, 0.001508, 3.450, 1
A9o, 0.1184, 0.0003744, 3.034, 1
A9s, 0.5364, 0.001696, 3.507, 1
AA, 2.117, 0.006694, 4.619, 1
AJo, 0.3914, 0.001238, 3.352, 1
AJs, 0.7718, 0.002441, 3.724, 1
AKo, 0.6352, 0.002009, 3.597, 1
AKs, 0.9952, 0.003147, 3.906, 1
AQo, 0.4845, 0.001532, 3.449, 1
ATo, 0.3225, 0.001020, 3.270, 1
AQs, 0.8855, 0.002800, 3.822, 1
J2o, -0.3802, -0.001202, 2.312, 1
ATs, 0.7201, 0.002277, 3.674, 1
J2s, 0.02586, 8.177e-05, 2.959, 1
J3o, -0.3536, -0.001118, 2.345, 1
J3s, 0.05751, 0.0001819, 2.987, 1
J4o, -0.3427, -0.001084, 2.349, 1
J4s, 0.04931, 0.0001559, 2.966, 1
J5o, -0.3069, -0.0009705, 2.393, 1
J5s, 0.08139, 0.0002574, 2.997, 1
J6o, -0.2749, -0.0008693, 2.452, 1
J6s, 0.1236, 0.0003908, 3.050, 1
J7o, -0.1810, -0.0005724, 2.610, 1
J7s, 0.2262, 0.0007152, 3.173, 1
J8o, -0.06829, -0.0002160, 2.785, 1
J8s, 0.3242, 0.001025, 3.288, 1
J9o, 0.08304, 0.0002626, 2.989, 1
J9s, 0.4671, 0.001477, 3.440, 1
JJ, 0.9384, 0.002967, 3.926, 1
JTo, 0.3060, 0.0009677, 3.245, 1
JTs, 0.6421, 0.002031, 3.599, 1
K2o, -0.2556, -0.0008082, 2.546, 1
K2s, 0.1745, 0.0005517, 3.156, 1
K3o, -0.2170, -0.0006861, 2.591, 1
K3s, 0.2176, 0.0006882, 3.195, 1
K4o, -0.1973, -0.0006238, 2.602, 1
K4s, 0.2371, 0.0007497, 3.204, 1
K5o, -0.1622, -0.0005129, 2.641, 1
K5s, 0.2487, 0.0007864, 3.206, 1
K6o, -0.1389, -0.0004393, 2.675, 1
K6s, 0.2905, 0.0009188, 3.251, 1
K7o, -0.09605, -0.0003037, 2.744, 1
K7s, 0.3237, 0.001024, 3.287, 1
K8o, -0.04979, -0.0001575, 2.809, 1
K8s, 0.3677, 0.001163, 3.339, 1
K9o, 0.06551, 0.0002072, 2.974, 1
K9s, 0.4799, 0.001518, 3.458, 1
KJo, 0.3847, 0.001216, 3.342, 1
KJs, 0.7296, 0.002307, 3.685, 1
KQo, 0.4751, 0.001502, 3.439, 1
KK, 1.605, 0.005074, 4.372, 1
KTo, 0.2864, 0.0009058, 3.227, 1
KQs, 0.8122, 0.002568, 3.761, 1
Q2o, -0.3163, -0.001000, 2.435, 1
KTs, 0.6591, 0.002084, 3.617, 1
Q2s, 0.08833, 0.0002793, 3.048, 1
Q3o, -0.3078, -0.0009735, 2.428, 1
Q3s, 0.1179, 0.0003729, 3.069, 1
Q4o, -0.2620, -0.0008287, 2.493, 1
